categoryName,id,name,shortDesc,weight,defaultChannel,charge
,2001,一流课程,国家精品分类,220,1,0
,108001,认证学习,让你的学习更高效,219,1,0
,126001,智慧慕课,利用人工智能技术，为你提供高效、个性的学习服务。,218,0,0
,3003,理学工学农学,工学类目,210,0,0
,3002,计算机,计算机类目,205,1,0
,3004,经济管理,经济管理类目,200,0,0
,2002,外语,外语分类,195,1,0
,34001,音乐与艺术,智能AI互动式教学轻松学乐器,190,1,0
,3007,心理学,心理学类目,140,1,0
,3005,文史哲法,文史哲类目,130,0,0
,3008,医学与保健,医药卫生类目,120,0,0
,3010,教育教学,教育教学类目,100,0,0
,56001,大学生竞赛,帮助提高竞赛水平,19,1,0
,114001,软件实训,实用软件,10,0,0
,125001,AI,人工智能与AIGC,8,1,0
,143001,人工智能,人工智能素养提升,1,1,0
,13001,考研,四大定制，全科提分,22223,1,1
,4003,期末突击,2-4小时学完,22220,1,1
,134001,大学生涯规划,大学生涯规划,22218,1,1
,44001,专升本,含河南山东江苏等29个省份专升本培训课程,22216,1,1
,48001,四六级,四六级,206,1,1
,54001,保研及论文,高效保研指导，收获梦校offer,200,1,0
,6001,求职就业,求职就业,193,1,1
,110002,专四专八,英语,109,1,1
,3001,大学应试英语,四六级，考研英语，万词班，雅思等,100,0,1
,79002,期末资料,复习资料，有这一份就够了！,1,0,0
,1002,名师专栏,轻量化学习，改变看得见,195,0,1
,30001,兴趣技能,教你把兴趣变成热门技能,20,0,0
